metric,cbs_mean,cbs_sd,ecbs_mean,ecbs_sd,delta_pct
StatOverallDistanceTraveled,259280.36784288732,1388.0387743257706,259670.21365274696,1824.4481699859818,0.15035685621051756
StatEnergyTotalKJ,19309.67418917693,103.7191428076876,19269.75097232791,131.97855763089044,-0.20675241051657292
StatEnergyE1AccelKJ,5413.950667991644,36.540002046219804,5574.5508121999765,34.08729599873274,2.9664131436925087
StatEnergyE2DecelKJ,0.0,0.0,0.0,0.0,0
StatEnergyE3CruiseKJ,9777.20194313334,59.86213318524167,9573.591390533338,85.77779399686894,-2.082503294748857
StatEnergyE4RotationKJ,3292.5210629407507,19.755608120720563,3293.5001335945067,19.497665353175382,0.02973620016515727
StatTurningCount,32480.566666666666,200.82720026882836,32546.466666666667,190.52391167394245,0.20289054891284158
StatStopAndGoCount,44131.03333333333,268.5483945770018,44669.066666666666,273.40949877973975,1.219172298254213
StatLoadedDistanceM,175193.06666666668,1293.048467857986,175621.63333333333,1629.98023011775,0.24462535808113284
StatLoadedTurningCount,23852.533333333333,203.9997858912557,24004.8,198.37623606289833,0.6383668541147262
StatWaitTimeSec,376828.60064687853,1462.310619808001,374993.95894066565,1590.4298448781815,-0.4868637102023234
StatOverallOrdersHandled,11139.966666666667,17.26563925403791,11151.433333333332,15.57337102420254,0.10293268382010719
