kpi,CBS-time_mean,CBS-time_std,CBS-energy_mean,CBS-energy_std,abs_diff,pct_diff,direction
total_orders_completed,5638.0000,37.0068,408.0000,301.4092,-5230.0000,-92.76%,worse
throughput_per_hour,704.7500,4.6258,51.0000,37.6761,-653.7500,-92.76%,worse
total_energy_mech_kJ,24284.6062,192.0922,1900.5254,1554.1679,-22384.0809,-92.17%,improved
total_energy_idle_kJ,66913.3358,6.1919,65154.8816,189.5350,-1758.4542,-2.63%,improved
total_energy_with_idle_kJ,91197.9420,190.1611,67055.4069,1570.8141,-24142.5351,-26.47%,improved
energy_per_order_mech_kJ,4.3076,0.0617,4.5275,0.5023,0.2199,+5.11%,worse
energy_per_order_with_idle_kJ,16.1763,0.1390,213.2597,88.1802,197.0834,+1218.35%,worse
stopgo_count_total,47437.6000,263.9210,3479.8000,2686.8326,-43957.8000,-92.66%,improved
stopgo_count_empty,11988.4000,94.3414,722.2000,508.4714,-11266.2000,-93.98%,improved
stopgo_count_loaded,35449.2000,240.5695,2757.6000,2178.7507,-32691.6000,-92.22%,improved
stopgo_energy_empty_kJ,1485.5368,11.8243,107.9515,72.6871,-1377.5852,-92.73%,improved
stopgo_energy_loaded_kJ,17484.1119,183.8110,1351.4202,1138.0800,-16132.6917,-92.27%,improved
turn_count,37406.6000,199.7781,2929.0000,2251.5902,-34477.6000,-92.17%,improved
turn_count_loaded,26707.4000,182.9954,2266.4000,1785.2837,-24441.0000,-91.51%,improved
turn_energy_empty_kJ,205.8646,1.7363,12.6569,8.9723,-193.2076,-93.85%,improved
turn_energy_loaded_kJ,2663.7722,25.6838,212.3194,175.8428,-2451.4528,-92.03%,improved
turn_energy_kJ,2869.6368,25.6754,224.9764,184.8080,-2644.6604,-92.16%,worse
total_travel_distance_m,288836.1035,1382.6685,22994.8000,17493.8606,-265841.3035,-92.04%,improved
loaded_distance_m,196789.4000,1664.0249,16392.0000,13080.0564,-180397.4000,-91.67%,worse
move_energy_empty_kJ,1279.6722,10.2200,95.2946,63.7219,-1184.3776,-92.55%,worse
move_energy_loaded_kJ,14820.3396,169.8722,1139.1007,962.2534,-13681.2389,-92.31%,worse
total_wait_time_seconds,281750.3951,1677.5261,688180.9239,27118.4363,406430.5289,+144.25%,worse
wait_energy_kJ,25357.5356,150.9774,61936.2832,2440.6593,36578.7476,+144.25%,worse
e_support_kJ,25357.5356,150.9774,61936.2832,2440.6593,36578.7476,+144.25%,worse
e_support_loaded_kJ,15919.7290,217.4179,38297.0988,10112.5259,22377.3698,+140.56%,worse
e_support_empty_kJ,9437.8066,198.0247,23639.1844,8984.6735,14201.3778,+150.47%,worse
e_support_per_order_kJ,4.4977,0.0245,200.8769,88.3316,196.3792,+4366.23%,worse
time_idle_sec,10.9200,0.0000,10.9200,0.0000,0.0000,+0.00%,flat
robot_utilization,1.0000,0.0000,1.0000,0.0000,0.0000,+0.00%,flat
e_support_to_mech_ratio,1.0443,0.0132,45.4146,20.6856,44.3703,+4248.98%,improved
