# kinematic_a = 2.049260
# kinematic_b = 0.667339
# shrinkage_k = 2
# density_bands = 0,1,2
# carrying_values = 0,1
# built_at = 2026-05-14T08:14:58.305791Z
# train_rows = 19473
# seeds = 0,1,2,3,4
KIND;FROM;TO;EDGE_TYPE;CARRYING;DENSITY;RESIDUAL;COUNT;STD;P90
EDGE;6;131;StationQueue;1;1;0.190485;3;0.000000;0.279364
EDGE;6;132;StationQueue;1;0;0.038952;14;0.267261;-0.053297
EDGE;6;132;StationQueue;1;1;0.210511;14;0.468807;0.946703
EDGE;6;133;StationQueue;1;0;0.442302;3;0.000000;0.614043
EDGE;6;133;StationQueue;1;1;0.490293;7;0.000000;0.614043
EDGE;6;292;StationQueue;1;0;0.158999;5;0.447214;0.548722
EDGE;6;292;StationQueue;1;1;0.002945;2;0.000000;-0.051278
EDGE;6;293;StationQueue;1;0;-0.004852;1;0.000000;-0.383939
EDGE;6;293;StationQueue;1;1;-0.089868;1;0.000000;-0.383939
EDGE;7;293;StationQueue;1;1;0.465912;1;0.000000;1.283401
EDGE;8;9;StationEntrance;1;0;0.162839;20;1.209611;1.283401
EDGE;8;9;StationEntrance;1;1;0.341826;1;0.000000;1.283401
EDGE;9;10;StationEntrance;1;0;1.421497;15;3.177300;5.883401
EDGE;9;10;StationEntrance;1;1;0.118456;3;0.000000;0.283401
EDGE;9;13;StationEntrance;1;0;-0.336040;54;0.272166;-0.383939
EDGE;9;13;StationEntrance;1;1;-0.256450;2;0.000000;-0.383939
EDGE;9;14;StationEntrance;1;0;-0.051125;109;0.000000;-0.051278
EDGE;10;11;StationEntrance;1;0;0.174675;4;0.000000;0.283401
EDGE;10;11;StationEntrance;1;1;0.118456;3;0.000000;0.283401
EDGE;10;13;StationEntrance;1;1;0.881340;10;1.135292;1.483401
EDGE;10;14;StationEntrance;1;0;-0.156497;1;0.000000;-0.383939
EDGE;11;12;StationEntrance;1;0;0.210917;7;0.000000;0.283401
EDGE;12;13;StationEntrance;1;0;-0.677848;136;0.169582;-0.716599
EDGE;12;13;StationEntrance;1;1;-0.612218;38;0.273276;-0.716599
EDGE;13;14;StationEntrance;1;0;0.158840;220;0.328872;0.283401
EDGE;13;14;StationEntrance;1;1;-0.507145;80;0.402524;0.283401
EDGE;14;15;StationEntrance;1;0;0.152930;3;0.000000;0.283401
EDGE;14;82;StationQueue;1;0;0.275522;31;0.000000;0.281382
EDGE;14;82;StationQueue;1;1;0.225329;6;0.000000;0.281382
EDGE;14;204;StationQueue;1;0;0.102671;1;0.000000;-0.061369
EDGE;14;205;StationQueue;1;0;0.249490;20;0.489360;0.605970
EDGE;14;205;StationQueue;1;1;0.163455;5;0.547723;0.605970
EDGE;14;206;StationQueue;1;0;0.266220;23;0.000000;0.273309
