FromNode;ToNode;CarryingPod;DensityBand;count;mean;p50;p90;std;EdgeType;type_mean;global_mean;mu_shrunk
6;7;1;1;1;3.0;3.0;3.0;;StationEntrance;2.8767441860465115;3.7563451776649748;2.917829457364341
6;76;1;0;12;5.0;5.0;5.0;0.0;StationQueue;8.728971962616823;4.691216884687259;5.5327102803738315
6;76;1;1;1;5.0;5.0;5.0;;StationQueue;7.495784148397976;3.7563451776649748;6.6638560989319835
6;121;1;0;3;13.333333333333334;13.0;13.8;0.5773502691896258;StationQueue;8.728971962616823;4.691216884687259;11.49158878504673
6;122;1;0;5;13.0;13.0;13.0;0.0;StationQueue;8.728971962616823;4.691216884687259;11.779706275033378
6;123;1;0;9;12.555555555555555;13.0;13.0;0.5270462766947298;StationQueue;8.728971962616823;4.691216884687259;11.859813084112151
6;123;1;1;1;12.0;12.0;12.0;;StationQueue;7.495784148397976;3.7563451776649748;8.997189432265317
6;125;1;0;25;11.0;11.0;11.0;0.0;StationQueue;8.728971962616823;4.691216884687259;10.83177570093458
6;125;1;1;2;11.0;11.0;11.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;9.247892074198989
6;126;1;0;22;10.090909090909092;10.0;10.0;0.29424494316824984;StationQueue;8.728971962616823;4.691216884687259;9.97741433021807
6;126;1;1;3;10.333333333333334;10.0;10.8;0.5773502691896258;StationQueue;7.495784148397976;3.7563451776649748;9.19831365935919
6;127;1;0;20;9.55;10.0;10.0;0.5104177855340405;StationQueue;8.728971962616823;4.691216884687259;9.47536108751062
6;127;1;1;6;9.666666666666666;10.0;10.0;0.5163977794943223;StationQueue;7.495784148397976;3.7563451776649748;9.123946037099493
6;128;1;0;12;9.0;9.0;9.0;0.0;StationQueue;8.728971962616823;4.691216884687259;8.96128170894526
6;128;1;1;6;9.0;9.0;9.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;8.623946037099493
6;129;1;0;12;8.166666666666666;8.0;8.9;0.38924947208076166;StationQueue;8.728971962616823;4.691216884687259;8.246995994659546
6;130;1;0;8;7.5;7.5;8.0;0.5345224838248488;StationQueue;8.728971962616823;4.691216884687259;7.745794392523365
6;130;1;1;2;7.5;7.5;7.9;0.7071067811865476;StationQueue;7.495784148397976;3.7563451776649748;7.4978920741989885
6;131;1;0;16;7.0;7.0;7.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.192107995846313
6;131;1;1;3;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.198313659359191
6;132;1;0;14;6.071428571428571;6.0;6.0;0.2672612419124244;StationQueue;8.728971962616823;4.691216884687259;6.403621495327103
6;132;1;1;14;6.285714285714286;6.0;7.0;0.46880723093849547;StationQueue;7.495784148397976;3.7563451776649748;6.436973018549747
6;133;1;0;3;6.0;6.0;6.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.09158878504673
6;133;1;1;7;6.0;6.0;6.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;6.3323964774217725
6;292;1;0;5;4.2;4.0;4.6;0.44721359549995787;StationQueue;8.728971962616823;4.691216884687259;5.493991989319092
6;292;1;1;2;4.0;4.0;4.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;5.7478920741989885
6;293;1;0;1;3.0;3.0;3.0;;StationQueue;8.728971962616823;4.691216884687259;6.8193146417445485
6;293;1;1;1;3.0;3.0;3.0;;StationQueue;7.495784148397976;3.7563451776649748;5.997189432265317
7;293;1;1;1;4.0;4.0;4.0;;StationQueue;7.495784148397976;3.7563451776649748;6.3305227655986505
8;9;1;0;20;2.9;2.0;4.0;1.2096106376585989;StationEntrance;4.719468390804598;4.691216884687259;3.0654062173458723
8;9;1;1;1;4.0;4.0;4.0;;StationEntrance;2.8767441860465115;3.7563451776649748;3.2511627906976743
9;10;1;0;15;4.333333333333333;3.0;8.599999999999998;3.1773004414499577;StationEntrance;4.719468390804598;4.691216884687259;4.378760987153482
9;10;1;1;3;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.9506976744186044
9;13;1;0;54;3.037037037037037;3.0;3.0;0.2721655269759086;StationEntrance;4.719468390804598;4.691216884687259;3.0971238711001643
9;13;1;1;2;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.938372093023256
9;14;1;0;109;4.0;4.0;4.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;4.012963394428912
10;11;1;0;4;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.573156130268199
10;11;1;1;3;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.9506976744186044
10;13;1;1;10;3.8;4.0;4.199999999999999;1.1352924243950933;StationEntrance;2.8767441860465115;3.7563451776649748;3.646124031007752
10;14;1;0;1;3.0;3.0;3.0;;StationEntrance;4.719468390804598;4.691216884687259;4.146312260536398
11;12;1;0;7;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.382104086845466
12;13;1;0;136;2.0294117647058822;2.0;2.0;0.16958233968972278;StationEntrance;4.719468390804598;4.691216884687259;2.0683980926203565
12;13;1;1;38;2.0789473684210527;2.0;2.0;0.273276312733094;StationEntrance;2.8767441860465115;3.7563451776649748;2.1188372093023253
13;14;1;0;220;2.8772727272727274;3.0;3.0;0.32887218122177647;StationEntrance;4.719468390804598;4.691216884687259;2.8938690846018433
13;14;1;1;80;2.2;2.0;3.0;0.40252368434130203;StationEntrance;2.8767441860465115;3.7563451776649748;2.216505955757232
14;15;1;0;3;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.687787356321839
14;82;1;0;31;5.0;5.0;5.0;0.0;StationQueue;8.728971962616823;4.691216884687259;5.225998300764656
14;82;1;1;6;5.0;5.0;5.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;5.623946037099494
14;204;1;0;1;14.0;14.0;14.0;;StationQueue;8.728971962616823;4.691216884687259;10.485981308411215
14;205;1;0;20;13.65;14.0;14.0;0.489360484929593;StationQueue;8.728971962616823;4.691216884687259;13.202633814783347
14;205;1;1;5;13.6;14.0;14.0;0.5477225575051662;StationQueue;7.495784148397976;3.7563451776649748;11.855938328113707
14;206;1;0;23;13.0;13.0;13.0;0.0;StationQueue;8.728971962616823;4.691216884687259;12.658317757009346
14;206;1;1;2;13.0;13.0;13.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;10.247892074198989
14;207;1;0;12;12.25;12.0;13.0;0.4522670168666455;StationQueue;8.728971962616823;4.691216884687259;11.746995994659546
14;207;1;1;1;12.0;12.0;12.0;;StationQueue;7.495784148397976;3.7563451776649748;8.997189432265317
14;208;1;0;6;11.333333333333334;11.0;12.0;0.5163977794943223;StationQueue;8.728971962616823;4.691216884687259;10.682242990654206
14;209;1;0;24;11.0;11.0;11.0;0.0;StationQueue;8.728971962616823;4.691216884687259;10.82530553558591
14;209;1;1;4;11.0;11.0;11.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;9.831928049465992
14;210;1;0;34;10.264705882352942;10.0;11.0;0.4478110755198993;StationQueue;8.728971962616823;4.691216884687259;10.17938733125649
14;210;1;1;6;10.333333333333334;10.0;11.0;0.5163977794943225;StationQueue;7.495784148397976;3.7563451776649748;9.623946037099493
14;211;1;0;29;9.448275862068966;9.0;10.0;0.5061201788784758;StationQueue;8.728971962616823;4.691216884687259;9.401869158878505
14;211;1;1;6;9.833333333333334;10.0;10.0;0.408248290463863;StationQueue;7.495784148397976;3.7563451776649748;9.248946037099493
14;212;1;0;10;9.0;9.0;9.0;0.0;StationQueue;8.728971962616823;4.691216884687259;8.954828660436137
14;212;1;1;2;9.0;9.0;9.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;8.247892074198989
14;213;1;0;48;8.270833333333334;8.0;9.0;0.44909286028962925;StationQueue;8.728971962616823;4.691216884687259;8.289158878504674
14;213;1;1;3;8.333333333333334;8.0;8.8;0.5773502691896255;StationQueue;7.495784148397976;3.7563451776649748;7.998313659359191
14;214;1;0;16;7.8125;8.0;8.0;0.40311288741492746;StationQueue;8.728971962616823;4.691216884687259;7.914330218068535
14;214;1;1;6;7.666666666666667;8.0;8.0;0.5163977794943224;StationQueue;7.495784148397976;3.7563451776649748;7.623946037099494
14;215;1;0;25;7.0;7.0;7.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.128071997230876
14;215;1;1;8;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.099156829679596
14;216;1;0;12;6.083333333333333;6.0;6.0;0.2886751345948129;StationQueue;8.728971962616823;4.691216884687259;6.461281708945259
14;216;1;1;5;6.0;6.0;6.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;6.427366899542278
14;217;1;0;10;5.5;5.5;6.0;0.5270462766947298;StationQueue;8.728971962616823;4.691216884687259;6.038161993769471
14;217;1;1;20;5.45;5.0;6.0;0.5104177855340403;StationQueue;7.495784148397976;3.7563451776649748;5.635980377127089
14;304;1;0;20;4.15;4.0;5.0;0.36634754853252327;StationQueue;8.728971962616823;4.691216884687259;4.566270178419711
14;304;1;1;7;4.0;4.0;4.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;4.776840921866217
14;305;1;0;1;3.0;3.0;3.0;;StationQueue;8.728971962616823;4.691216884687259;6.8193146417445485
14;305;1;1;2;4.0;4.0;4.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;5.7478920741989885
15;207;1;1;1;13.0;13.0;13.0;;StationQueue;7.495784148397976;3.7563451776649748;9.330522765598651
15;213;1;1;1;9.0;9.0;9.0;;StationQueue;7.495784148397976;3.7563451776649748;7.997189432265317
15;214;1;1;1;8.0;8.0;8.0;;StationQueue;7.495784148397976;3.7563451776649748;7.6638560989319835
16;17;1;0;13;3.076923076923077;2.0;4.0;1.3204505835470495;StationEntrance;4.719468390804598;4.691216884687259;3.295929118773947
16;17;1;1;21;3.8095238095238093;2.0;10.0;3.0268638492513604;StationEntrance;2.8767441860465115;3.7563451776649748;3.7284125379170874
16;17;1;2;1;2.0;2.0;2.0;;StationEntrance;2.5796897038081807;3.9458834412580943;2.386459802538787
17;18;1;0;73;3.0273972602739727;3.0;3.0;0.23408229439226114;StationEntrance;4.719468390804598;4.691216884687259;3.0725191570881227
17;18;1;1;299;3.0668896321070234;3.0;3.0;0.5636119356015703;StationEntrance;2.8767441860465115;3.7563451776649748;3.0656262072162557
17;18;1;2;10;3.1;3.0;3.1999999999999993;0.7378647873726218;StationEntrance;2.5796897038081807;3.9458834412580943;3.0132816173013635
17;21;1;0;9;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.312630616509927
17;22;1;0;8;4.0;4.0;4.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;4.14389367816092
18;19;1;1;79;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.99695664656905
18;19;1;2;289;2.9965397923875434;3.0;3.0;0.0588235294117647;StationEntrance;2.5796897038081807;3.9458834412580943;2.993674843325142
18;21;1;1;9;2.2222222222222223;2.0;2.4000000000000004;0.6666666666666666;StationEntrance;2.8767441860465115;3.7563451776649748;2.3412262156448205
18;21;1;2;5;8.0;8.0;8.0;0.0;StationEntrance;2.5796897038081807;3.9458834412580943;6.451339915373766
19;20;1;0;74;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.045249168179068
19;20;1;1;279;2.824372759856631;3.0;3.0;0.3811864535221977;StationEntrance;2.8767441860465115;3.7563451776649748;2.8247455102209713
19;20;1;2;15;2.933333333333333;3.0;3.0;0.2581988897471612;StationEntrance;2.5796897038081807;3.9458834412580943;2.891728200448021
20;21;1;0;15;2.066666666666667;2.0;2.0;0.25819888974716115;StationEntrance;4.719468390804598;4.691216884687259;2.3787609871534823
20;21;1;1;426;2.1948356807511735;2.0;3.0;0.3965398533421254;StationEntrance;2.8767441860465115;3.7563451776649748;2.1980221690936754
20;21;1;2;80;2.125;2.0;3.0;0.3328054892439217;StationEntrance;2.5796897038081807;3.9458834412580943;2.1360899927758092
21;22;1;0;37;2.6486486486486487;3.0;3.0;0.48397751418246093;StationEntrance;4.719468390804598;4.691216884687259;2.754844532861774
21;22;1;1;217;2.0184331797235022;2.0;2.0;0.13482271076659774;StationEntrance;2.8767441860465115;3.7563451776649748;2.0262716364022513
21;22;1;2;294;2.010204081632653;2.0;2.0;0.10066990214706925;StationEntrance;2.5796897038081807;3.9458834412580943;2.0140519574581632
22;23;1;0;1;3.0;3.0;3.0;;StationEntrance;4.719468390804598;4.691216884687259;4.146312260536398
22;23;1;1;4;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.9589147286821706
22;23;1;2;1;3.0;3.0;3.0;;StationEntrance;2.5796897038081807;3.9458834412580943;2.7197931358721203
22;65;1;0;4;5.0;5.0;5.0;0.0;StationQueue;8.728971962616823;4.691216884687259;6.242990654205608
22;65;1;1;47;5.0;5.0;5.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;5.1018687407509375
22;65;1;2;32;5.0;5.0;5.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;5.140383813099708
22;162;1;0;4;5.0;5.0;5.0;0.0;StationQueue;8.728971962616823;4.691216884687259;6.242990654205608
22;162;1;1;26;5.1923076923076925;5.0;6.0;0.40191847623425037;StationQueue;7.495784148397976;3.7563451776649748;5.35684172488557
22;162;1;2;31;5.032258064516129;5.0;5.0;0.17960530202677485;StationQueue;7.386524822695035;3.9458834412580943;5.174940898345154
22;163;1;0;1;6.0;6.0;6.0;;StationQueue;8.728971962616823;4.691216884687259;7.8193146417445485
22;163;1;1;24;6.0;6.0;6.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;6.115060319107537
22;163;1;2;40;6.0;6.0;6.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;6.0660249915569056
22;164;1;0;5;7.0;7.0;7.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.493991989319092
22;164;1;1;18;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.0495784148397975
22;164;1;2;23;7.0;7.0;7.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;7.030921985815604
22;165;1;0;2;7.0;7.0;7.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.864485981308412
22;165;1;1;17;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.052187805094524
22;165;1;2;25;7.0;7.0;7.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;7.028631468347781
22;166;1;0;3;8.0;8.0;8.0;0.0;StationQueue;8.728971962616823;4.691216884687259;8.291588785046729
22;166;1;1;31;8.0;8.0;8.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.969441463539272
22;166;1;2;35;8.028571428571428;8.0;8.0;0.16903085094570322;StationQueue;7.386524822695035;3.9458834412580943;7.993866206632164
22;167;1;0;1;9.0;9.0;9.0;;StationQueue;8.728971962616823;4.691216884687259;8.819314641744548
22;167;1;1;19;9.0;9.0;9.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;8.856741347466473
22;167;1;2;13;9.0;9.0;9.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;8.784869976359339
22;168;1;1;6;9.0;9.0;9.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;8.623946037099493
22;168;1;2;8;9.0;9.0;9.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;8.677304964539008
22;169;1;1;6;10.0;10.0;10.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;9.373946037099493
22;169;1;2;9;10.0;10.0;10.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;9.52482269503546
22;170;1;1;6;11.0;11.0;11.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;10.123946037099493
22;170;1;2;8;11.0;11.0;11.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.277304964539008
22;171;1;0;1;11.0;11.0;11.0;;StationQueue;8.728971962616823;4.691216884687259;9.485981308411215
22;171;1;1;6;11.166666666666666;11.0;11.5;0.4082482904638629;StationQueue;7.495784148397976;3.7563451776649748;10.248946037099493
22;171;1;2;6;11.0;11.0;11.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.09663120567376
22;172;1;1;2;12.0;12.0;12.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;9.747892074198989
22;172;1;2;3;12.0;12.0;12.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.154609929078013
22;173;1;1;4;13.0;13.0;13.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;11.165261382799326
22;173;1;2;3;13.0;13.0;13.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.754609929078015
22;174;1;0;2;13.0;13.0;13.0;0.0;StationQueue;8.728971962616823;4.691216884687259;10.864485981308412
22;174;1;1;6;13.0;13.0;13.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;11.623946037099493
22;174;1;2;16;13.0;13.0;13.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;12.376280535855004
22;175;1;0;1;14.0;14.0;14.0;;StationQueue;8.728971962616823;4.691216884687259;10.485981308411215
22;175;1;1;2;14.5;14.5;14.9;0.7071067811865476;StationQueue;7.495784148397976;3.7563451776649748;10.997892074198989
22;330;1;1;5;3.0;3.0;3.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;4.284509756685136
22;330;1;2;4;3.0;3.0;3.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;4.462174940898345
22;331;1;0;3;4.0;4.0;4.0;0.0;StationQueue;8.728971962616823;4.691216884687259;5.8915887850467294
22;331;1;1;11;4.0;4.0;4.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;4.5378129459073815
22;331;1;2;26;4.0;4.0;4.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;4.241894630192503
23;164;1;2;1;8.0;8.0;8.0;;StationQueue;7.386524822695035;3.9458834412580943;7.591016548463356
23;166;1;2;1;9.0;9.0;9.0;;StationQueue;7.386524822695035;3.9458834412580943;7.92434988179669
23;169;1;1;1;11.0;11.0;11.0;;StationQueue;7.495784148397976;3.7563451776649748;8.663856098931983
23;330;1;2;1;4.0;4.0;4.0;;StationQueue;7.386524822695035;3.9458834412580943;6.257683215130023
23;331;1;2;2;5.0;5.0;5.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;6.193262411347518
24;25;1;0;17;4.705882352941177;4.0;10.0;3.077432084594901;StationEntrance;4.719468390804598;4.691216884687259;4.707312462189957
24;25;1;1;24;3.4166666666666665;3.0;6.0;1.717345440591042;StationEntrance;2.8767441860465115;3.7563451776649748;3.375134168157424
24;25;1;2;1;2.0;2.0;2.0;;StationEntrance;2.5796897038081807;3.9458834412580943;2.386459802538787
25;26;1;0;56;3.0714285714285716;3.0;3.0;0.5345224838248488;StationEntrance;4.719468390804598;4.691216884687259;3.1282575307174
25;26;1;1;305;3.088524590163934;3.0;3.0;0.7578749637915341;StationEntrance;2.8767441860465115;3.7563451776649748;3.0871449132641464
25;26;1;2;8;2.875;3.0;3.0;0.3535533905932738;StationEntrance;2.5796897038081807;3.9458834412580943;2.8159379407616365
25;29;1;0;4;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.573156130268199
25;30;1;0;2;4.0;4.0;4.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;4.359734195402298
26;27;1;1;78;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.9969186046511624
26;27;1;2;283;2.9929328621908127;3.0;3.0;0.08391708429643083;StationEntrance;2.5796897038081807;3.9458834412580943;2.9900329102021628
26;29;1;1;8;2.25;2.0;2.5999999999999996;0.7071067811865476;StationEntrance;2.8767441860465115;3.7563451776649748;2.3753488372093026
27;28;1;0;82;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.0409397235905855
27;28;1;1;249;2.7751004016064256;3.0;3.0;0.41835710981227886;StationEntrance;2.8767441860465115;3.7563451776649748;2.7759103122394144
27;28;1;2;30;2.966666666666667;3.0;3.0;0.18257418583505539;StationEntrance;2.5796897038081807;3.9458834412580943;2.942480606488011
28;29;1;0;14;2.0;2.0;2.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;2.3399335488505746
28;29;1;1;410;2.2243902439024392;2.0;3.0;0.4176898205758124;StationEntrance;2.8767441860465115;3.7563451776649748;2.2275570106118767
28;29;1;2;82;2.1097560975609757;2.0;2.9000000000000057;0.3145091241282064;StationEntrance;2.5796897038081807;3.9458834412580943;2.120944992947814
29;30;1;0;44;2.5454545454545454;3.0;3.0;0.5036862005093147;StationEntrance;4.719468390804598;4.691216884687259;2.6399768865567217
29;30;1;1;179;2.005586592178771;2.0;2.0;0.07474350927519358;StationEntrance;2.8767441860465115;3.7563451776649748;2.0152126429397406
29;30;1;2;297;2.0033670033670035;2.0;2.0;0.05802588531856585;StationEntrance;2.5796897038081807;3.9458834412580943;2.007222004707747
30;31;1;0;1;3.0;3.0;3.0;;StationEntrance;4.719468390804598;4.691216884687259;4.146312260536398
30;31;1;1;2;3.0;3.0;3.0;0.0;StationEntrance;2.8767441860465115;3.7563451776649748;2.938372093023256
30;71;1;0;4;5.0;5.0;5.0;0.0;StationQueue;8.728971962616823;4.691216884687259;6.242990654205608
30;71;1;1;33;5.0;5.0;5.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;5.142616237051313
30;71;1;2;38;5.0;5.0;5.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;5.119326241134752
30;85;1;1;1;15.0;15.0;15.0;;StationQueue;7.495784148397976;3.7563451776649748;9.997189432265317
30;246;1;1;29;5.0344827586206895;5.0;5.0;0.1856953381770519;StationQueue;7.495784148397976;3.7563451776649748;5.193276396670837
30;246;1;2;42;5.0;5.0;5.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;5.108478401031594
30;247;1;0;2;6.0;6.0;6.0;0.0;StationQueue;8.728971962616823;4.691216884687259;7.364485981308412
30;247;1;1;18;6.0;6.0;6.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;6.149578414839798
30;247;1;2;19;6.052631578947368;6.0;6.0;0.2294157338705618;StationQueue;7.386524822695035;3.9458834412580943;6.17966903073286
30;248;1;0;1;7.0;7.0;7.0;;StationQueue;8.728971962616823;4.691216884687259;8.152647975077882
30;248;1;1;13;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.06610455311973
30;248;1;2;14;7.0;7.0;7.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;7.04831560283688
30;249;1;1;14;7.0;7.0;7.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;7.061973018549747
30;249;1;2;26;7.0;7.0;7.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;7.0276089159067885
30;250;1;0;1;8.0;8.0;8.0;;StationQueue;8.728971962616823;4.691216884687259;8.485981308411215
30;250;1;1;19;8.052631578947368;8.0;8.0;0.22941573387056172;StationQueue;7.495784148397976;3.7563451776649748;7.999598490323617
30;250;1;2;21;8.0;8.0;8.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;7.946654332408263
30;251;1;0;2;9.0;9.0;9.0;0.0;StationQueue;8.728971962616823;4.691216884687259;8.864485981308412
30;251;1;1;13;9.0;9.0;9.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;8.799437886453065
30;251;1;2;11;9.0;9.0;9.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;8.75177304964539
30;252;1;0;2;9.0;9.0;9.0;0.0;StationQueue;8.728971962616823;4.691216884687259;8.864485981308412
30;252;1;1;11;9.090909090909092;9.0;9.0;0.30151134457776346;StationQueue;7.495784148397976;3.7563451776649748;8.84550525359969
30;252;1;2;23;9.0;9.0;9.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;8.870921985815604
30;253;1;1;5;10.0;10.0;10.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;9.284509756685136
30;253;1;2;13;10.0;10.0;10.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;9.651536643026006
30;254;1;0;1;11.0;11.0;11.0;;StationQueue;8.728971962616823;4.691216884687259;9.485981308411215
30;254;1;1;13;11.0;11.0;11.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;10.532771219786397
30;254;1;2;16;11.0;11.0;11.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.598502758077226
30;255;1;0;3;11.0;11.0;11.0;0.0;StationQueue;8.728971962616823;4.691216884687259;10.09158878504673
30;255;1;1;9;11.0;11.0;11.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;10.362869845163269
30;255;1;2;12;11.0;11.0;11.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;10.483789260385006
30;256;1;0;2;12.0;12.0;12.0;0.0;StationQueue;8.728971962616823;4.691216884687259;10.364485981308412
30;256;1;1;18;12.0;12.0;12.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;11.549578414839798
30;256;1;2;16;12.0625;12.0;12.0;0.2499999999999999;StationQueue;7.386524822695035;3.9458834412580943;11.54294720252167
30;257;1;0;1;13.0;13.0;13.0;;StationQueue;8.728971962616823;4.691216884687259;10.152647975077882
30;257;1;1;7;13.0;13.0;13.0;0.0;StationQueue;7.495784148397976;3.7563451776649748;11.776840921866217
30;257;1;2;6;13.0;13.0;13.0;0.0;StationQueue;7.386524822695035;3.9458834412580943;11.59663120567376
