FromNode;ToNode;CarryingPod;DensityBand;count;mean;p50;p90;std;EdgeType;type_mean;global_mean;mu_shrunk
0;1;1;0;18;2.7777777777777777;2.0;4.0;1.2153699778283713;StationEntrance;4.719468390804598;4.691216884687259;2.9719468390804598
0;1;1;1;1;4.0;4.0;4.0;;StationEntrance;2.8767441860465115;3.7563451776649748;3.2511627906976743
1;2;1;0;10;3.6;3.0;5.199999999999999;1.3498971154211057;StationEntrance;4.719468390804598;4.691216884687259;3.7865780651340994
1;2;1;1;1;9.0;9.0;9.0;;StationEntrance;2.8767441860465115;3.7563451776649748;4.917829457364341
1;5;1;0;30;3.066666666666667;3.0;3.0;0.36514837167011077;StationEntrance;4.719468390804598;4.691216884687259;3.1699667744252875
1;5;1;1;2;4.0;4.0;4.8;1.4142135623730951;StationEntrance;2.8767441860465115;3.7563451776649748;3.438372093023256
1;6;1;0;73;4.0;4.0;4.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;4.019185823754789
2;3;1;0;2;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.859734195402299
2;3;1;1;1;3.0;3.0;3.0;;StationEntrance;2.8767441860465115;3.7563451776649748;2.917829457364341
2;5;1;1;7;3.7142857142857144;4.0;4.800000000000001;1.3801311186847085;StationEntrance;2.8767441860465115;3.7563451776649748;3.5281653746770023
2;6;1;0;1;3.0;3.0;3.0;;StationEntrance;4.719468390804598;4.691216884687259;4.146312260536398
3;4;1;0;2;3.0;3.0;3.0;0.0;StationEntrance;4.719468390804598;4.691216884687259;3.859734195402299
3;4;1;1;1;3.0;3.0;3.0;;StationEntrance;2.8767441860465115;3.7563451776649748;2.917829457364341
4;5;1;0;55;2.0545454545454547;2.0;2.0;0.22918388365077624;StationEntrance;4.719468390804598;4.691216884687259;2.148051522484372
4;5;1;1;7;2.2857142857142856;2.0;2.8000000000000007;0.7559289460184544;StationEntrance;2.8767441860465115;3.7563451776649748;2.417054263565891
5;6;1;0;97;2.9278350515463916;3.0;3.0;0.26010505411325197;StationEntrance;4.719468390804598;4.691216884687259;2.964029664460699
5;6;1;1;45;2.2444444444444445;2.0;3.0;0.43461349368017665;StationEntrance;2.8767441860465115;3.7563451776649748;2.2713508164275114
