CarryingPod;DensityBand;count;mean;p50;p90;std
0;0;2133;4.816221284575715;4.0;7.0;1.9353964091572167
0;1;988;4.504048582995951;4.0;7.0;1.6431935094478092
0;2;365;4.402739726027397;4.0;7.0;1.5878983105692617
1;0;9097;4.691216884687259;3.0;10.0;2.931338801091771
1;1;4728;3.7563451776649748;3.0;7.0;2.4740373756355973
1;2;2162;3.9458834412580943;3.0;8.0;2.656718441025568
