Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;154;0;17;86.88954888528843;592.5743552062027;60.20978287351181;120.8204405008783;9.058823529411764;279.1822963581297;1800
InputStation1;0.50;12.50;119;0;14;79.69480113905655;348.8605626463278;50.29514270463551;120.53827495497309;8.5;626.9106676570078;1800
InputStation2;0.50;18.50;131;0;14;89.66563110403573;115.48554462103478;70.37093612986246;110.44934965822097;9.357142857142858;505.81863831934584;1800
InputStation3;0.50;24.50;127;0;15;81.03798448138326;179.78085969262548;60.298873063444944;110.44908286118552;8.466666666666667;548.5216531660107;1800
OutputStation0;59.50;3.50;145;99;39;36.51609300142167;262.15063905837894;10.044444444444437;61.01018758282612;3.717948717948718;371.0840486238756;1800
OutputStation1;59.50;9.50;136;89;38;35.91024773482076;274.15215938828413;10.04444444444448;70.93982746555417;3.5789473684210527;458.72863810477827;1800
OutputStation2;59.50;15.50;130;86;39;33.17579076354632;283.58785716128307;10.044444444444423;71.05285834853908;3.3333333333333335;518.1120852424049;1800
OutputStation3;59.50;21.50;145;100;36;39.07320492405641;246.94011415613716;10.079329625822218;71.52907008224383;4.027777777777778;376.18070465829;1800
