Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;2802;0;92;303.1629528335897;236.90361224522832;271.1796464130839;341.28651026582156;30.456521739130434;1091.968912853899;28800
InputStation1;0.50;12.50;2804;0;92;303.39202077794107;179.75885425026348;280.99121287982325;341.5990876627984;30.47826086956522;1086.334801727752;28800
InputStation2;0.50;18.50;2801;0;92;305.2351797243669;335.20564274325625;270.97713962188027;361.73902369201824;30.445652173913043;1110.4224207999832;28800
InputStation3;0.50;24.50;2805;0;92;303.83379530656777;188.40028033158637;271.3060780387077;341.37639648349796;30.48913043478261;1081.8534506692974;28800
OutputStation0;61.50;3.50;2798;2032;711;40.647350454572;546.989662645222;10.044444444443798;152.01888010814946;3.9353023909985936;1165.9430356012217;28800
OutputStation1;61.50;9.50;2785;1996;672;42.7140251480253;526.5481038049235;10.044444444443798;142.66709328881552;4.144345238095238;1316.3746752554669;28800
OutputStation2;61.50;15.50;2766;1999;660;43.18191030813545;605.7824211008334;10.044444444443798;162.73259738784873;4.1909090909090905;1486.9622255328213;28800
OutputStation3;61.50;21.50;2791;1989;671;42.83985097125997;572.7493859567548;10.044444444443798;162.6949232882298;4.1594634873323395;1246.864723959703;28800
