#TimeStamp;DistanceTraveled
59.96;1325.08
120;761.02
179.74;285.54
239.98;276.5
299.9;347.71
359.9;423.59
419.95;271.68
480;556.3
539.94;439.51
599.99;352.54
659.81;328.39
719.69;442.43
779.97;627.91
839.61;480.26
899.97;417.49
959.92;435.25
1019.97;464.06
1079.95;588.79
1139.91;412.19
1199.98;401.33
1259.9;342.57
1319.97;396.09
1379.87;677.46
1439.63;523.6
1499.8;465.21
1559.97;512.02
1619.96;496.63
1679.96;556.18
1739.98;543.36
1799.8;415.53
1859.63;421.29
1919.93;601.82
1980;620.51
2039.99;526.74
2099.96;601.23
2159.58;341.3
2219.93;465.62
2279.96;509.43
2339.99;543.31
2399.78;360.83
2459.98;369.58
2519.96;476.09
2579.96;568.94
2639.79;607.85
2699.69;476.03
2759.84;464.25
2819.73;556.92
2879.99;592.56
2939.65;745.11
2999.98;602.1
3059.99;454.17
3120;622.97
3179.99;547.12
3239.97;633.18
3299.98;418.62
3359.77;382.46
3419.96;620.31
3479.58;661.34
3539.92;552.86
3599.75;439.14
3659.68;452.01
3719.84;444.43
3779.96;601.74
3839.77;665.43
3899.6;499.45
3959.91;606.11
4019.84;470.49
4079.84;464.11
4139.85;552.21
4199.94;420.24
4259.73;487.21
4319.61;474.49
4379.82;556.37
4439.96;651.37
4499.65;572.26
4559.6;462.81
4619.97;628.35
4679.72;586.13
4739.67;518.58
4799.7;435.24
4859.97;609.85
4919.9;674.46
4979.99;644.58
5039.78;624.7
5099.97;290.34
5159.74;569.55
5219.97;578.73
5279.97;593.77
5339.84;619.43
5399.83;544.76
5459.99;601.64
5519.89;627.82
5579.79;682.38
5639.99;597.22
5699.91;458.73
5759.99;614.55
5819.96;601.22
5879.96;568.75
5939.81;681.97
5999.65;633.33
6060;562.75
6119.93;530.87
6179.99;610.51
6239.9;624.57
6299.89;551.37
6359.99;468.33
6419.89;610.87
6479.91;428.94
6539.61;555.11
6599.69;548.27
6659.77;549.1
6719.98;623.1
6779.95;530.42
6839.99;664.03
6899.96;408.66
6959.72;555.58
7019.96;559.9
7079.73;513.36
7139.64;689
7199.8;576.5
7259.94;498.67
7319.95;452.61
7379.97;589.67
7439.77;624.48
7499.97;578.89
7559.83;380.35
7619.7;541.06
7679.78;454.25
7739.94;502.92
7800;464.33
7859.99;603.67
7919.92;464.52
7979.81;495.54
8039.95;451.65
8100;599.02
8159.88;593.91
8219.98;553.31
8279.87;482
8339.89;486.01
8400;679.03
8459.95;694.76
8520;557.74
8579.93;472.77
8639.96;514.97
8699.64;608.78
8759.97;679.48
8819.95;462.42
8879.99;538.39
8939.93;565.48
8999.96;576.11
9059.7;688.79
9119.97;449.19
9179.98;600
9239.97;531.37
9299.97;625.36
9359.97;585.4
9419.94;505.29
9480;427.88
9539.93;589.24
9599.99;518.29
9659.91;634.51
9720;614.06
9779.97;578.71
9839.82;495.26
9899.86;544.31
9959.76;603.92
10019.91;528.71
10079.93;543.18
10139.95;549.12
10199.94;563.32
10259.96;559
10319.97;519.35
10379.98;516.26
10439.97;530.26
10499.94;694.78
10559.68;574.21
10619.97;506.21
10679.99;622.82
10739.64;579.32
10799.82;436.78
10859.93;636.08
10919.96;599.95
10979.61;509.31
11039.89;660.06
11099.94;624.43
11159.93;654.03
11219.97;465.47
11279.99;504.56
11339.97;585.42
11399.99;804.61
11459.96;618.71
11519.89;614.1
11579.85;540.95
11639.89;488.61
11699.89;658.3
11759.95;755.45
11819.71;583.14
11879.98;335.57
11939.99;482.88
11999.97;442.13
12059.99;484.04
12119.98;561.65
12179.62;557.8
12239.89;466.76
12299.62;491.74
12359.99;408.68
12419.96;557.29
12479.99;659.41
12539.88;522.22
12599.84;540.33
12659.99;494.4
12719.98;567.1
12779.96;538.31
12839.99;494.93
12899.77;657.25
12959.99;552.6
13019.88;481.79
13080;601.49
13139.81;531.25
13199.99;551.59
13259.92;624.63
13319.99;783.81
13379.67;679.65
13439.68;612.03
13499.65;500.18
13559.89;528.56
13619.87;563.92
13679.8;645.61
13739.9;589.42
13799.78;453.84
13859.96;453.78
13919.88;481.67
13979.88;539.19
14039.98;492.98
14099.99;560.24
14159.98;537.3
14219.73;529.45
14279.94;539.91
14339.97;572.35
14399.9;568.75
14459.94;601.55
14519.96;492.26
14579.97;621
14639.91;547.28
14699.97;660.95
14759.98;573.03
14819.97;483.02
14879.93;472.42
14939.72;655.13
14999.95;511.04
15059.94;503.79
15119.99;595.33
15179.86;429.67
15239.98;621.36
15299.82;534.44
15359.96;518.17
15419.99;627.74
15479.8;674.07
15539.93;489.34
15599.76;488.31
15659.98;702.52
15719.81;556.55
15779.9;482.51
15839.93;565.81
15899.79;438.58
15959.77;568.13
16019.96;470.39
16079.6;594.98
16139.74;579.83
16199.87;586.79
16259.75;566.35
16319.98;600.77
16379.99;659.51
16439.96;512.31
16499.64;587.98
16559.85;347.8
16619.91;552.98
16679.99;442.15
16739.62;431.88
16799.81;418.76
16859.98;563.51
16919.84;624.04
16980;590.35
17039.69;538.3
17099.99;456.31
17159.84;462.12
17219.95;488.23
17279.96;709.2
17339.63;595.7
17399.8;543.78
17460;601.82
17519.64;535.49
17579.98;562.45
17639.96;523.7
17699.99;523.68
17759.97;628.68
17819.77;599.76
17879.89;497.57
17939.62;493.31
17999.74;449.8
18059.91;550.52
18119.97;531.89
18179.62;516.03
18239.9;696.25
18299.77;782.93
18359.64;448.06
18419.99;416.14
18479.92;512.11
18539.99;402.56
18599.98;580.32
18659.99;513.29
18719.89;625.19
18779.65;420.81
18839.91;509.21
18899.84;569.14
18959.91;633.04
19019.98;766.74
19079.67;609.45
19139.99;484.35
19199.72;515.36
19259.99;727.07
19319.63;634.91
19379.92;469.16
19439.66;553.67
19499.81;564.59
19559.77;646.09
19619.83;607.28
19679.97;654.09
19739.82;529.37
19799.77;469.06
19859.97;501.63
19919.97;524.92
19979.86;407.26
20039.77;461.99
20099.99;541.14
20159.97;606.25
20219.99;597.38
20279.79;447.02
20339.95;526.53
20399.96;515.71
20459.96;791.95
20519.85;615.25
20579.87;560.78
20639.72;492.26
20699.72;535.45
20759.94;436.26
20819.76;563.03
20879.6;661.58
20939.73;381.29
20999.94;407.04
21059.97;594.35
21119.97;574.57
21179.84;691.45
21239.95;666.68
21299.86;504.16
21359.87;664.67
21419.74;627.72
21479.96;657.37
21540;608.52
21599.79;537.23
21659.81;582.95
21719.85;455.36
21779.81;550.07
21839.76;591.77
21899.81;418.96
21959.91;497.37
22019.99;593.82
22079.99;583.79
22139.96;446.57
22199.97;485.87
22259.98;526.14
22319.97;452.74
22379.82;431.61
22439.85;552.48
22499.75;537.58
22559.94;517.11
22619.98;571.94
22679.83;755.32
22739.99;751.79
22799.99;512.94
22859.99;486.58
22920;355.95
22979.97;518.39
23039.91;622.56
23099.7;571.16
23159.61;646.78
23219.99;521.43
23279.98;393.98
23339.95;419.21
23399.98;580.09
23459.91;543.31
23519.98;471.9
23579.68;507.61
23639.79;506.85
23699.96;500.84
23759.96;567.33
23819.8;488.94
23879.66;346.3
23939.96;508.23
23999.96;618.36
24059.89;635.58
24119.99;676
24179.92;586.18
24239.84;526.27
24299.99;518.12
24359.69;496.41
24419.98;564.66
24479.68;440.34
24539.84;379.28
24599.99;473.71
24659.68;523.07
24719.94;630.31
24779.86;630.95
24839.96;600.98
24899.81;460.28
24959.64;596.91
25019.84;654.27
25079.89;525.56
25139.96;450.8
25199.99;578.72
25259.72;532.07
25319.68;496.95
25379.91;622.49
25439.61;674.48
25500;623.76
25559.93;431.02
25619.98;524.22
25679.91;597.17
25739.97;649.51
25799.92;490.03
25859.97;555.83
25919.98;556.73
25979.9;505.38
26040;617.22
26099.96;650.4
26160;484.7
26219.96;344.65
26279.89;631.82
26339.94;450.83
26399.89;499.39
26459.89;484.79
26519.59;530.27
26579.58;649.25
26639.8;683.34
26699.98;446.35
26759.99;721.59
26819.99;602
26879.99;550.35
26939.96;610.15
26999.89;466.18
27059.98;445.76
27119.93;562.08
27179.88;723.3
27239.87;866.66
27299.86;570.44
27359.89;566.09
27420;518.74
27479.99;499.55
27539.94;578.29
27599.91;560.3
27659.87;458.75
27719.97;564.36
27779.91;642.16
27839.93;558.43
27899.75;486.98
27959.99;386.17
28019.84;397
28079.92;600.08
28139.67;504.7
28199.95;578.22
28259.78;383.91
28319.59;495.1
28379.96;582.08
28439.6;718.6
28499.99;520.23
28559.86;470.74
28619.92;595.19
28679.69;439.45
28739.92;586.7
28799.66;585.66
