Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;156;0;17;91.04003131745479;398.7128715801359;60.376501948273926;120.88529534944053;9.176470588235293;268.56088125974793;1800
InputStation1;0.50;12.50;133;0;14;89.70416656676406;194.09015974099805;70.25795897113335;120.44843788967779;9.5;488.742468213616;1800
InputStation2;0.50;18.50;124;0;15;81.05280732592911;165.81593388739873;60.18418176743876;110.45167612902674;8.266666666666667;583.8732291577503;1800
InputStation3;0.50;24.50;113;0;14;79.70602200291422;239.30720988921675;60.23637459156839;110.43876597875278;8.071428571428571;685.4825198566508;1800
OutputStation0;59.50;3.50;148;107;35;42.19970567186791;447.9041170184648;10.044444444444451;100.80836226750671;4.228571428571429;339.31680281845536;1800
OutputStation1;59.50;9.50;145;102;38;37.48822427659192;395.41205586760947;10.04444444444448;100.76686929787229;3.8157894736842106;378.5131884261227;1800
OutputStation2;59.50;15.50;138;93;39;35.529644617621095;446.61281579554253;10.04444444444448;100.87370849898483;3.5384615384615383;447.9971881304649;1800
OutputStation3;59.50;21.50;144;95;38;37.800915171875495;446.8773713961952;10.061814365837499;111.57230907614206;3.789473684210526;379.6141484898714;1800
