#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1259.97;39;102;4;4;0/231.09,1/365.74,2/413.02,3/329.31;0/201.69,1/380.73,2/280.62,3/247.22;0/1259.97,1/1259.97,2/1259.97,3/1259.97;0/1259.97,1/1259.97,2/1259.97,3/1259.97;0/8,1/5,2/11,3/16;0/0,1/1,2/0,3/3;0/23,1/16,2/20,3/24;0/4,1/5,2/6,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/11,1/10,2/9,3/9;0/27,1/24,2/27,3/24;0/105,1/91,2/86,3/95;0/108,1/90,2/100,3/103
1319.93;42;106;4;4;0/231.91,1/374.92,2/424.53,3/339.11;0/205.84,1/381.71,2/284.79,3/260.49;0/1319.93,1/1319.93,2/1319.93,3/1319.93;0/1319.93,1/1319.93,2/1319.93,3/1319.93;0/10,1/12,2/14,3/7;0/0,1/0,2/1,3/2;0/28,1/18,2/24,3/19;0/3,1/4,2/7,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/11,1/11,2/10,3/10;0/28,1/24,2/28,3/26;0/110,1/96,2/91,3/100;0/114,1/96,2/106,3/108
1379.98;44;113;4;4;0/241.88,1/375.58,2/433.88,3/362.27;0/228.92,1/395.51,2/287.35,3/274.52;0/1379.98,1/1379.98,2/1379.98,3/1379.98;0/1379.98,1/1379.98,2/1379.98,3/1379.98;0/0,1/12,2/14,3/15;0/1,1/6,2/0,3/1;0/22,1/19,2/19,3/24;0/7,1/9,2/5,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/12,1/11,2/11,3/10;0/30,1/26,2/29,3/28;0/116,1/102,2/96,3/103;0/117,1/100,2/111,3/112
1439.96;46;117;4;4;0/251.32,1/400.12,2/444.27,3/422.25;0/253.17,1/431.19,2/304.15,3/277.75;0/1439.96,1/1439.96,2/1439.96,3/1439.96;0/1439.96,1/1439.96,2/1439.96,3/1439.96;0/5,1/12,2/13,3/7;0/0,1/3,2/0,3/2;0/22,1/22,2/22,3/24;0/8,1/7,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/13,1/12,2/11,3/10;0/31,1/27,2/30,3/29;0/121,1/106,2/101,3/103;0/121,1/103,2/116,3/118
1500;47;122;4;4;0/252.76,1/422.36,2/504.31,3/428.13;0/258.12,1/439.09,2/305.34,3/295.44;0/1500,1/1500,2/1500,3/1500;0/1500,1/1500,2/1500,3/1500;0/8,1/12,2/5,3/16;0/0,1/4,2/1,3/0;0/24,1/19,2/22,3/27;0/7,1/8,2/6,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/13,1/12,2/11,3/11;0/33,1/29,2/30,3/30;0/127,1/109,2/101,3/109;0/127,1/108,2/122,3/122
1559.79;51;126;4;4;0/262.66,1/441.06,2/524.08,3/438.02;0/259.43,1/441.57,2/310.66,3/328.2;0/1559.79,1/1559.79,2/1559.79,3/1559.79;0/1559.79,1/1559.79,2/1559.79,3/1559.79;0/6,1/14,2/16,3/16;0/0,1/2,2/4,3/0;0/25,1/23,2/28,3/22;0/4,1/5,2/9,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/14,1/13,2/12,3/12;0/33,1/30,2/32,3/31;0/132,1/114,2/106,3/114;0/133,1/114,2/127,3/125
1619.89;53;132;4;4;0/263.76,1/453.72,2/533.89,3/439.32;0/264.25,1/447.18,2/338.2,3/336.24;0/1619.89,1/1619.89,2/1619.89,3/1619.89;0/1619.89,1/1619.89,2/1619.89,3/1619.89;0/6,1/14,2/16,3/13;0/0,1/3,2/1,3/4;0/19,1/19,2/23,3/22;0/5,1/9,2/6,3/9;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/14,1/14,2/13,3/12;0/35,1/32,2/33,3/32;0/138,1/118,2/111,3/120;0/138,1/119,2/130,3/130
1679.98;55;138;4;4;0/275.84,1/464.24,2/534.91,3/476.62;0/293.06,1/450.02,2/361.99,3/348.66;0/1679.98,1/1679.98,2/1679.98,3/1679.98;0/1679.98,1/1679.98,2/1679.98,3/1679.98;0/6,1/14,2/13,3/7;0/1,1/1,2/0,3/3;0/23,1/23,2/25,3/20;0/6,1/4,2/5,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/15,1/14,2/13,3/13;0/37,1/33,2/34,3/34;0/143,1/123,2/117,3/122;0/141,1/125,2/134,3/135
1740;56;143;4;4;0/285.38,1/524.26,2/576.14,3/477.23;0/310.8,1/463.19,2/382.27,3/377.31;0/1740,1/1740,2/1740,3/1740;0/1740,1/1740,2/1740,3/1740;0/0,1/5,2/5,3/14;0/1,1/1,2/0,3/2;0/18,1/23,2/24,3/21;0/8,1/4,2/4,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/16,1/14,2/13,3/13;0/38,1/35,2/35,3/35;0/148,1/123,2/118,3/128;0/145,1/130,2/138,3/138
1799.93;59;148;4;4;0/295.32,1/546.77,2/636.07,3/514.83;0/342.08,1/466.04,2/386.12,3/397.84;0/1799.93,1/1799.93,2/1799.93,3/1799.93;0/1799.93,1/1799.93,2/1799.93,3/1799.93;0/5,1/11,2/5,3/7;0/0,1/2,2/0,3/1;0/18,1/25,2/24,3/18;0/6,1/5,2/5,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/17,1/15,2/13,3/14;0/39,1/36,2/36,3/37;0/153,1/127,2/118,3/131;0/148,1/136,2/144,3/142
