#TimeStamp;Runtime;Requests
0.88;0.04;1
18.97;0;1
159.91;0;1
179.65;0;1
197.02;0;1
269.61;0;1
291.64;0;1
310.09;0;1
435.4;0;1
457.14;0;1
472.09;0;1
567.27;0;1
589.69;0;1
605.74;0;1
635.66;0;1
660.98;0;1
676.1;0;1
772.53;0;1
795.69;0;1
802.94;0;1
828.95;0;1
850.98;0;1
856.33;0;1
896.8;0;1
922.12;0;1
926.64;0;1
956.05;0;1
981.37;0;1
992.75;0;1
1022.58;0;1
1047.12;0;1
1064.9;0;1
1143.63;0;1
1168.19;0;1
1174.15;0;1
1199.55;0;1
1225.55;0;1
1238.93;0;1
1270.09;0;1
1296.74;0;1
1305.02;0;1
1347.03;0;1
1372.89;0;1
1390.01;0;1
1412.59;0;1
1431.96;0;1
1441.73;0;1
1483.1;0;1
1507.75;0;1
1518.04;0;1
1561.37;0;1
1586.44;0;1
1593.39;0;1
1656.07;0;1
1679.14;0;1
1685.72;0;1
1724.8;0;1
1747.87;0;1
1762.99;0;1
1799.68;0;1
