#TimeStamp;Bot;Tier
2.6;14;0
2.6;15;0
4.96;17;0
4.96;22;0
7.34;11;0
7.34;27;0
11.26;6;0
11.26;14;0
11.95;17;0
11.95;22;0
13.22;0;0
13.22;6;0
13.22;28;0
13.8;12;0
13.8;15;0
16.79;10;0
16.79;24;0
18.22;3;0
18.22;26;0
18.85;20;0
18.85;24;0
19.72;10;0
19.72;20;0
20.57;6;0
23.17;6;0
23.93;18;0
23.93;22;0
24.35;10;0
24.35;24;0
25.36;6;0
25.9;8;0
30;13;0
32.33;15;0
32.78;13;0
33.36;8;0
34.13;27;0
34.13;29;0
35.56;13;0
36.85;5;0
36.85;8;0
38.12;15;0
38.27;4;0
39.09;27;0
39.74;14;0
40.15;8;0
40.78;4;0
41.1;16;0
41.94;22;0
42.79;1;0
42.79;5;0
42.79;17;0
43.11;16;0
43.53;8;0
44.36;14;0
44.4;5;0
44.4;6;0
44.4;15;0
44.81;4;0
44.81;22;0
45.46;3;0
45.53;1;0
45.57;16;0
45.86;27;0
46.13;12;0
46.97;4;0
46.97;19;0
46.97;29;0
47.7;14;0
47.85;17;0
47.97;3;0
48.35;30;0
48.49;5;0
49.22;17;0
49.27;27;0
49.69;29;0
49.8;4;0
49.85;13;0
49.85;28;0
50.44;17;0
50.67;10;0
50.67;14;0
50.67;30;0
51.26;5;0
51.67;25;0
51.74;22;0
51.79;24;0
51.79;29;0
52.22;3;0
52.22;16;0
52.22;31;0
52.67;27;0
52.76;30;0
53.22;22;0
53.76;10;0
53.76;29;0
54;25;0
54.33;20;0
55.08;16;0
55.13;22;0
55.35;30;0
55.63;24;0
55.79;29;0
55.89;17;0
56.27;3;0
56.84;2;0
57.31;21;0
57.4;18;0
57.73;29;0
57.88;17;0
57.93;7;0
58.55;16;0
58.97;20;0
59.22;21;0
59.48;2;0
59.48;10;0
59.9;29;0
60.31;31;0
60.53;1;0
60.53;5;0
61.23;30;0
61.54;3;0
61.54;20;0
61.86;16;0
62.54;29;0
62.59;11;0
62.59;27;0
63.09;1;0
63.09;5;0
63.19;16;0
63.76;31;0
64.22;10;0
65.13;30;0
65.71;20;0
66.33;30;0
66.62;2;0
67.13;31;0
67.82;12;0
67.82;19;0
68.22;7;0
68.22;16;0
68.26;20;0
68.44;31;0
68.98;2;0
69.22;3;0
69.93;29;0
70.46;30;0
70.46;31;0
72.03;1;0
72.03;5;0
72.34;2;0
72.86;7;0
72.86;12;0
73.39;29;0
74.45;31;0
74.77;29;0
75.63;2;0
75.63;19;0
75.63;24;0
76.75;29;0
77.81;31;0
79.03;2;0
81.09;2;0
81.14;31;0
82.4;2;0
83.98;28;0
84.27;3;0
84.27;25;0
87.43;28;0
89.38;3;0
89.38;25;0
90.18;23;0
117.67;19;0
132.64;13;0
136.15;13;0
138.05;28;0
142.57;13;0
147.55;22;0
151.24;22;0
153.18;22;0
155.88;22;0
157.97;22;0
160.66;30;0
163.79;30;0
166.71;30;0
170.95;0;0
173.49;0;0
175.77;0;0
177.09;6;0
177.09;26;0
177.41;0;0
182.53;13;0
185;13;0
187.41;13;0
195;22;0
195.84;2;0
197.66;22;0
198.39;8;0
199.52;2;0
200.55;22;0
201.78;2;0
201.78;22;0
204.25;17;0
204.25;22;0
205.96;30;0
208.53;17;0
210.04;17;0
211.1;22;0
212.15;17;0
212.61;6;0
214.42;6;0
214.84;22;0
216.01;22;0
216.52;6;0
218;21;0
218.8;22;0
221.41;21;0
229.56;27;0
235.72;27;0
237.01;27;0
238.98;27;0
240.29;1;0
241.05;27;0
241.63;24;0
245.83;1;0
247.06;15;0
248.38;24;0
249.42;18;0
250.11;29;0
250.66;15;0
252.63;15;0
253.48;29;0
254.69;15;0
255.55;29;0
256.93;15;0
257.58;29;0
258.07;9;0
258.3;24;0
259.28;21;0
259.87;18;0
261.5;29;0
263.49;9;0
264.26;29;0
265.42;9;0
265.88;17;0
266.45;21;0
267.73;23;0
268.12;17;0
268.4;24;0
270.04;21;0
270.16;23;0
270.9;1;0
272.28;23;0
272.28;24;0
272.28;29;0
273.27;21;0
273.95;1;0
274.53;5;0
275.36;23;0
278;5;0
278.42;23;0
278.47;1;0
278.47;22;0
280;5;0
280.33;23;0
282.24;5;0
282.83;15;0
283.31;24;0
285.37;11;0
285.37;15;0
287.4;15;0
287.62;11;0
289.33;15;0
289.7;11;0
290.09;1;0
290.09;22;0
290.71;24;0
292.25;11;0
292.25;15;0
292.25;30;0
293.18;22;0
293.18;24;0
295.19;24;0
297.32;24;0
297.36;22;0
298.33;5;0
298.33;18;0
298.75;22;0
299.26;11;0
299.26;23;0
299.26;27;0
299.68;30;0
302.09;27;0
302.77;22;0
304.15;10;0
304.15;27;0
304.68;22;0
307.68;10;0
309.61;10;0
313.19;18;0
313.54;10;0
314.16;5;0
315.74;18;0
316.26;10;0
317.1;18;0
317.87;5;0
321.21;18;0
322.72;30;0
323.05;29;0
323.66;18;0
325.18;16;0
325.93;29;0
326.6;9;0
326.6;30;0
327.17;4;0
327.17;22;0
327.81;18;0
328.29;23;0
328.96;9;0
329.97;30;0
330.29;9;0
330.71;4;0
331.76;30;0
332.6;18;0
332.6;23;0
333.28;30;0
334.33;9;0
337;9;0
338.62;30;0
340.78;9;0
342.34;9;0
345.07;16;0
346.83;18;0
346.83;30;0
348.02;16;0
348.72;25;0
349.43;22;0
352.13;25;0
353.06;22;0
354.07;25;0
356.86;25;0
357.36;21;0
363.73;22;0
366.06;21;0
366.06;22;0
371.49;4;0
375.3;2;0
378.76;2;0
381.12;2;0
382.45;2;0
385.62;2;0
387.62;2;0
389.04;2;0
394.87;25;0
394.87;29;0
398.15;29;0
399.44;27;0
400;29;0
400.93;21;0
402.22;29;0
402.85;18;0
402.85;27;0
404.35;18;0
404.8;27;0
405.47;21;0
406.78;18;0
406.78;27;0
408.96;21;0
408.96;27;0
409.04;18;0
410.57;3;0
411.73;27;0
412.06;21;0
413.36;17;0
413.36;27;0
415.48;21;0
415.67;23;0
416.17;17;0
416.73;3;0
418.27;17;0
420.09;23;0
420.38;17;0
422.29;21;0
423.01;17;0
428.62;30;0
428.8;17;0
430.47;27;0
430.93;7;0
432.17;30;0
432.93;11;0
432.93;20;0
433.35;17;0
433.94;27;0
435.01;11;0
435.09;22;0
436.03;17;0
436.45;20;0
437;11;0
437.42;27;0
438.93;22;0
438.98;11;0
439.33;17;0
440.14;27;0
442.81;11;0
442.81;22;0
443.44;27;0
444.09;17;0
445.13;3;0
445.33;22;0
445.76;11;0
445.76;14;0
445.76;20;0
446.46;17;0
448.1;18;0
448.15;27;0
448.89;14;0
450.79;27;0
451.84;18;0
452.89;29;0
455.22;18;0
458.5;18;0
459.26;30;0
461.41;7;0
461.41;22;0
461.66;18;0
464.66;30;0
465.69;23;0
467.96;30;0
468.38;7;0
469.22;23;0
471.25;30;0
472.67;30;0
474.42;12;0
475.22;30;0
475.85;14;0
476.7;11;0
