#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/11,1/0,2/35,3/0;0/0,1/0,2/0,3/0;0/11,1/0,2/35,3/0;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.95;0;0;4;4;0/59.95,1/59.95,2/59.95,3/59.95;0/50.02,1/59.95,2/53.45,3/52.89;0/59.95,1/59.95,2/59.95,3/59.95;0/59.95,1/59.95,2/59.95,3/59.95;0/0,1/4,2/3,3/1;0/1,1/1,2/4,3/0;0/13,1/13,2/13,3/13;0/25,1/29,2/34,3/30;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/2,1/0,2/1,3/1
119.96;2;3;4;4;0/79.8,1/85.56,2/99.71,3/76.66;0/58.59,1/88.24,2/54.67,3/64.88;0/119.96,1/119.96,2/119.96,3/119.96;0/119.96,1/119.96,2/119.96,3/119.96;0/4,1/5,2/4,3/2;0/4,1/4,2/6,3/0;0/12,1/10,2/11,3/12;0/26,1/29,2/33,3/25;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/0,2/0,3/1;0/1,1/1,2/0,3/1;0/5,1/4,2/3,3/5;0/8,1/5,2/9,3/7
179.78;5;6;4;4;0/88.09,1/93.79,2/108.54,3/77.81;0/67.31,1/89.6,2/64.63,3/71.37;0/179.78,1/179.78,2/179.78,3/179.78;0/179.78,1/179.78,2/179.78,3/179.78;0/8,1/11,2/10,3/8;0/4,1/2,2/7,3/1;0/13,1/13,2/13,3/13;0/27,1/30,2/32,3/22;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/2,1/1,2/1,3/1;0/2,1/1,2/1,3/2;0/10,1/9,2/8,3/11;0/15,1/12,2/15,3/14
239.71;9;10;4;4;0/109.45,1/149.41,2/130.81,3/91.52;0/76.59,1/98.72,2/74.36,3/80.53;0/239.71,1/239.71,2/239.71,3/239.71;0/239.71,1/239.71,2/239.71,3/239.71;0/10,1/9,2/11,3/11;0/6,1/5,2/9,3/2;0/13,1/12,2/13,3/12;0/29,1/28,2/30,3/25;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/3,1/2,2/2,3/2;0/3,1/2,2/2,3/3;0/14,1/10,2/11,3/15;0/21,1/18,2/22,3/21
299.92;12;12;4;4;0/145.25,1/190.99,2/188.47,3/141.89;0/85.24,1/107.51,2/79.79,3/82.72;0/299.92,1/299.92,2/299.92,3/299.92;0/299.92,1/299.92,2/299.92,3/299.92;0/8,1/8,2/11,3/7;0/4,1/1,2/6,3/5;0/11,1/12,2/13,3/12;0/28,1/25,2/30,3/26;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/4,1/2,2/3,3/3;0/4,1/3,2/2,3/3;0/16,1/11,2/12,3/16;0/28,1/25,2/28,3/28
359.93;16;15;4;4;0/162.54,1/231.09,2/228.86,3/168.56;0/93.74,1/108.37,2/84.32,3/91.51;0/359.93,1/359.93,2/359.93,3/359.93;0/359.93,1/359.93,2/359.93,3/359.93;0/11,1/11,2/6,3/11;0/8,1/3,2/5,3/5;0/13,1/13,2/13,3/13;0/28,1/24,2/31,3/27;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/5,1/3,2/4,3/4;0/5,1/3,2/3,3/4;0/20,1/13,2/14,3/20;0/34,1/32,2/36,3/35
419.96;21;18;4;4;0/202.7,1/271.6,2/242.1,3/203.08;0/103,1/117.31,2/92.72,3/93.32;0/419.96,1/419.96,2/419.96,3/419.96;0/419.96,1/419.96,2/419.96,3/419.96;0/8,1/10,2/5,3/13;0/6,1/8,2/8,3/10;0/12,1/13,2/11,3/13;0/29,1/27,2/29,3/27;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/6,1/4,2/5,3/6;0/6,1/4,2/4,3/4;0/22,1/15,2/18,3/22;0/41,1/39,2/42,3/42
480;24;20;4;4;0/245.52,1/309.28,2/272.66,3/263.12;0/110.47,1/125.57,2/101.73,3/102.9;0/480,1/480,2/480,3/480;0/480,1/480,2/480,3/480;0/6,1/11,2/7,3/10;0/3,1/8,2/11,3/4;0/11,1/12,2/13,3/13;0/27,1/31,2/32,3/25;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/7,1/5,2/6,3/6;0/6,1/4,2/5,3/5;0/24,1/18,2/21,3/22;0/47,1/45,2/49,3/48
539.94;32;26;4;4;0/274.47,1/351.97,2/294.07,3/293.44;0/120.61,1/134.58,2/110.61,3/115.15;0/539.94,1/539.94,2/539.94,3/539.94;0/539.94,1/539.94,2/539.94,3/539.94;0/9,1/10,2/7,3/13;0/3,1/6,2/4,3/7;0/12,1/12,2/11,3/13;0/26,1/28,2/30,3/29;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/9,1/6,2/8,3/9;0/8,1/6,2/6,3/6;0/27,1/19,2/25,3/25;0/54,1/52,2/55,3/54
599.94;33;30;4;4;0/313.03,1/411.97,2/313.61,3/353.44;0/129.43,1/135.62,2/119.14,3/127.54;0/599.94,1/599.94,2/599.94,3/599.94;0/599.94,1/599.94,2/599.94,3/599.94;0/9,1/10,2/11,3/8;0/5,1/6,2/5,3/6;0/13,1/13,2/13,3/13;0/27,1/30,2/28,3/33;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/9,1/6,2/9,3/9;0/9,1/6,2/7,3/8;0/29,1/19,2/29,3/25;0/60,1/59,2/62,3/61
