method,seed,status,error,sim_duration_sec,total_orders_completed,throughput_per_hour,total_energy_mech_kJ,total_energy_idle_kJ,total_energy_with_idle_kJ,energy_per_order_mech_kJ,energy_per_order_with_idle_kJ,stopgo_count_total,stopgo_count_empty,stopgo_count_loaded,stopgo_energy_empty_kJ,stopgo_energy_loaded_kJ,turn_count,turn_count_loaded,turn_energy_empty_kJ,turn_energy_loaded_kJ,turn_energy_kJ,total_travel_distance_m,loaded_distance_m,move_energy_empty_kJ,move_energy_loaded_kJ,total_wait_time_seconds,wait_energy_kJ,e_support_kJ,e_support_loaded_kJ,e_support_empty_kJ,e_support_per_order_kJ,time_idle_sec,robot_utilization,e_support_to_mech_ratio
CBS-energy,42,ok,,28800.0,534.0,66.75,3742.137801813021,2570.383173381856,6312.520975194877,7.007748692533747,11.821200328080295,3255.0,588.0,2667.0,260.7870267194435,2954.829413607564,3253.0,2666.0,58.04560171944383,642.3483043679124,700.3939060873563,20794.753051962212,17209.0,202.74142499999965,2312.4811092396517,7394.438412737432,665.499457146369,665.4994571461992,598.37309026378,67.12636688244261,1.246253665067789,0.42,0.9999854166666666,0.17783937748732093
CBS-energy,43,ok,,28800.0,495.0,61.875,3899.8074334048433,2569.7777227345096,6469.585156139353,7.8783988553633195,13.069869002301722,3391.0,608.0,2783.0,268.7972200355638,3078.945831315575,3388.0,2783.0,58.84867003556454,672.411026149353,731.2596961849175,21511.000000003944,17793.0,209.94854999999924,2406.534805166222,6703.868585934874,603.3481727341386,603.3481727339949,533.7798987050664,69.56827402894822,1.218885197442414,0.42,0.9999854166666666,0.1547122987575886
CBS-energy,44,ok,,28800.0,483.0,60.375,3860.376001869067,2569.099253909969,6429.475255779035,7.992496898279642,13.311542972627402,3415.0,622.0,2793.0,262.13984321374414,3048.5623139017207,3415.0,2793.0,61.098968213744655,664.6948858018246,725.7938540155693,21409.468311758523,17843.0,201.04087499999946,2383.867428099896,6690.80852119824,602.1727669078416,602.1727669077031,530.9618357322823,71.21093117544177,1.246734507055286,0.42,0.9999854166666666,0.1559881127165206
CBS-energy,45,ok,,28800.0,508.0,63.5,3789.223038429549,2569.878574676602,6359.1016131061515,7.459100469349506,12.517916561232582,3354.0,609.0,2745.0,256.1102726356505,2995.410184483446,3350.0,2743.0,59.60622263565097,657.136026230431,716.7422488660819,20941.000000003696,17452.0,196.50404999999952,2338.274158253015,7120.9886509543085,640.8889785858878,640.8889785857228,571.7004279383842,69.18855064736199,1.2615924775309504,0.42,0.9999854166666666,0.16913466747297634
CBS-energy,46,ok,,28800.0,483.0,60.375,3882.3328572830565,2569.5506110564907,6451.883468339547,8.037956226258917,13.357936787452479,3398.0,616.0,2782.0,252.18075038630138,3088.1946234869056,3394.0,2781.0,59.987925386301804,662.1341017909938,722.1220271772955,21554.100545632795,18151.0,192.19282499999957,2426.0605216959116,6659.8463133622545,599.3861682026029,599.3861682024568,529.184037027027,70.202131175452,1.2409651515578817,0.42,0.9999854166666666,0.15438814502420606
CBS-time,42,ok,,28800.0,536.0,67.0,3792.3516826544624,2570.1496525896932,6362.501335244156,7.075282990026982,11.870338312022678,3173.0,585.0,2588.0,255.04967936277444,3003.4130440031904,3173.0,2588.0,57.36692936277483,624.4959425350845,681.8628718978593,21083.145948099,17588.0,197.6827499999996,2378.917101468106,7383.894206510038,664.5504785859034,664.5504785857327,596.8414623506653,67.70901623509117,1.2398329824360683,0.42,0.9999854166666666,0.17523440181596753
CBS-time,43,ok,,28800.0,480.0,60.0,3968.5333639102823,2568.9958026152663,6537.529166525548,8.267777841479754,13.619852430261558,3344.0,619.0,2725.0,264.270817224531,3139.9919243606023,3343.0,2724.0,59.657242224531785,657.7096099429641,717.3668521674958,21982.16707794319,18355.0,204.61357499999926,2482.282314417638,6501.776219570582,585.1598597613524,585.1598597612209,513.7655467629738,71.39431299826698,1.2190830411692102,0.42,0.9999854166666666,0.1474499030504937
CBS-time,44,ok,,28800.0,495.0,61.875,3854.0759917084933,2569.129762998541,6423.205754707034,7.786012104461602,12.976173241832393,3281.0,617.0,2664.0,262.741081419196,3044.705575273966,3279.0,2662.0,59.849956419196516,635.6215303671246,695.4714867863211,21597.615386199628,17998.0,202.89112499999948,2409.0840449068414,6842.772078079026,615.8494870271124,615.8494870269623,545.0449324699505,70.8045545570353,1.244140377832247,0.42,0.9999854166666666,0.15979173434874572
CBS-time,45,ok,,28800.0,510.0,63.75,3803.627071753459,2569.6510597362185,6373.278131489677,7.458092297555802,12.496623787234661,3242.0,607.0,2635.0,257.8315599563058,3008.549684103854,3240.0,2635.0,58.65218495630625,631.3580080661987,690.010193022505,21212.65785170158,17679.0,199.17937499999957,2377.1916760376553,7189.726803897683,647.0754123507913,647.0754123506199,578.0937974102856,68.98161494035467,1.268775318334549,0.42,0.9999854166666666,0.1701206243787513
CBS-time,46,ok,,28800.0,479.0,59.875,3928.051890755422,2569.1090201450606,6497.160910900483,8.200525867965391,13.564010252401843,3321.0,628.0,2693.0,256.5675754384556,3121.589677177111,3316.0,2691.0,60.414150438456,642.374545604605,702.788696043061,21968.937911276593,18486.0,196.1534249999996,2479.215131572506,6555.019653888721,589.9517688499849,589.9517688498444,518.7163883217627,71.23538052810517,1.2316320852815124,0.42,0.9999854166666666,0.15018940310800935
