Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;156;0;18;86.52869234868153;570.2393549010295;40.23486156482477;120.69313005899562;8.666666666666666;265.74070813659637;1800
InputStation1;0.50;12.50;139;0;15;91.79162861278127;199.0500837373383;60.43323193835681;120.49212870053773;9.266666666666667;430.22607598988463;1800
InputStation2;0.50;18.50;122;0;14;81.87704909186547;137.36773828116583;60.443146505056575;100.4444444444448;8.714285714285714;594.3872264232946;1800
InputStation3;0.50;24.50;127;0;14;85.38486036179758;258.9463345573734;60.23077483938141;110.41345922121774;9.071428571428571;544.5885812202966;1800
OutputStation0;59.50;3.50;146;94;41;35.794176771485915;360.42862497748825;10.04444444444448;91.1113947772501;3.5609756097560976;358.7596594066642;1800
OutputStation1;59.50;9.50;138;94;37;37.199034947121866;332.2443411795546;10.04444444444448;91.68666666666695;3.72972972972973;444.1163355642911;1800
OutputStation2;59.50;15.50;139;94;41;34.0630509508117;314.9848589971197;10.04444444444448;71.59142231238275;3.3902439024390243;436.44144527876017;1800
OutputStation3;59.50;21.50;149;105;39;38.105575959358795;319.7639571158197;10.04444444444448;90.92935204136518;3.8205128205128207;337.0016363390733;1800
