kpi,CBS-time_mean,CBS-time_std
total_orders_completed,5678.0000,0.0000
throughput_per_hour,709.7500,0.0000
total_energy_mech_kJ,24216.5974,0.0000
total_energy_idle_kJ,66910.1915,0.0000
total_energy_with_idle_kJ,91126.7889,0.0000
energy_per_order_mech_kJ,4.2650,0.0000
energy_per_order_with_idle_kJ,16.0491,0.0000
stopgo_count_total,47262.0000,0.0000
stopgo_count_empty,12065.0000,0.0000
stopgo_count_loaded,35197.0000,0.0000
stopgo_energy_empty_kJ,1492.4607,0.0000
stopgo_energy_loaded_kJ,17433.6758,0.0000
turn_count,37247.0000,0.0000
turn_count_loaded,26468.0000,0.0000
turn_energy_empty_kJ,207.4239,0.0000
turn_energy_loaded_kJ,2645.2798,0.0000
turn_energy_kJ,2852.7036,0.0000
total_travel_distance_m,288241.5464,0.0000
loaded_distance_m,195912.0000,0.0000
distance_empty_m,92329.5464,0.0000
move_energy_empty_kJ,1285.0368,0.0000
move_energy_loaded_kJ,14788.3961,0.0000
move_time_empty_sec,123939.8337,0.0000
move_time_loaded_sec,291140.4141,0.0000
turn_time_empty_sec,11389.3276,0.0000
turn_time_loaded_sec,26847.6363,0.0000
travel_time_empty_sec,135329.1612,0.0000
travel_time_loaded_sec,317988.0504,0.0000
energy_empty_kJ,1492.4607,0.0000
energy_loaded_kJ,17433.6758,0.0000
total_wait_time_seconds,258072.0028,0.0000
wait_energy_kJ,23226.4802,0.0000
e_support_kJ,25477.5158,0.0000
e_support_loaded_kJ,15701.7691,0.0000
e_support_empty_kJ,9775.7468,0.0000
e_support_per_order_kJ,4.4871,0.0000
time_idle_sec,10.9200,0.0000
robot_utilization,1.0000,0.0000
e_support_to_mech_ratio,1.0521,0.0000
n_trips_loaded,3124.0000,0.0000
n_trips_empty,3140.0000,0.0000
trip_wait_ratio_loaded_mean,0.3021,0.0000
trip_wait_ratio_loaded_median,0.3045,0.0000
trip_wait_ratio_loaded_p95,0.5081,0.0000
trip_wait_ratio_empty_mean,0.2322,0.0000
trip_wait_ratio_empty_median,0.1517,0.0000
trip_wait_ratio_empty_p95,0.6682,0.0000
