Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;6.50;513;0;80;64.07808030221832;408.66945945521843;30.17777777777883;120.53333333333308;6.4125;23731.7591878537;28800
InputStation1;0.50;12.50;403;0;61;65.92399827336926;380.1525324193997;30.30299811349869;120.45945163736621;6.60655737704918;24817.160528682696;28800
InputStation2;0.50;18.50;395;0;62;63.54243171371312;270.23307124864283;40.12470375197154;110.53822578564359;6.370967741935484;24893.969093870244;28800
InputStation3;0.50;24.50;392;0;61;64.11085768393262;323.1609424066754;30.084553435191992;110.3913384824502;6.426229508196721;24924.259192664736;28800
OutputStation0;59.50;3.50;2258;1440;735;31.03976313088473;352.68027382451396;10.044444444443798;132.01694138169478;3.072108843537415;6501.183941727644;28800
OutputStation1;59.50;9.50;2248;1426;726;31.18999284266241;319.4824536401889;10.044444444443798;110.74462110600871;3.0964187327823693;6593.733619102176;28800
OutputStation2;59.50;15.50;2323;1542;692;33.89991272963052;343.52403289070827;10.044444444443798;110.43463202727048;3.356936416184971;5859.5046396703765;28800
OutputStation3;59.50;21.50;2307;1483;729;31.97330805594474;330.6623781562339;10.044444444443798;111.12045899558143;3.1646090534979425;6003.625203625313;28800
