#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
15;59.50;3.50;False;False;True;False;352;44.50;1.50;True;False;False;False;1;30.25172414643447;0;30.25172414643447;30.25172414643447
15;59.50;3.50;False;False;True;False;354;46.50;1.50;True;False;False;False;1;58.28153656360928;0;58.28153656360928;58.28153656360928
15;59.50;3.50;False;False;True;False;355;47.50;1.50;True;False;False;False;1;43.90910567737524;0;43.90910567737524;43.90910567737524
15;59.50;3.50;False;False;True;False;357;49.50;1.50;True;False;False;False;1;41.494594553968;0;41.494594553968;41.494594553968
15;59.50;3.50;False;False;True;False;369;17.50;2.50;True;False;False;False;1;55.52251101021034;0;55.52251101021034;55.52251101021034
15;59.50;3.50;False;False;True;False;370;18.50;2.50;True;False;False;False;1;39.25795954165619;0;39.25795954165619;39.25795954165619
15;59.50;3.50;False;False;True;False;388;36.50;2.50;True;False;False;False;1;27.347594977521283;0;27.347594977521283;27.347594977521283
15;59.50;3.50;False;False;True;False;389;37.50;2.50;True;False;False;False;1;26.632355363567342;0;26.632355363567342;26.632355363567342
15;59.50;3.50;False;False;True;False;397;45.50;2.50;True;False;False;False;1;21.661233358710177;0;21.661233358710177;21.661233358710177
15;59.50;3.50;False;False;True;False;399;47.50;2.50;True;False;False;False;1;24.558011062800347;0;24.558011062800347;24.558011062800347
15;59.50;3.50;False;False;True;False;462;22.50;4.50;True;False;False;False;1;36.665649077240005;0;36.665649077240005;36.665649077240005
15;59.50;3.50;False;False;True;False;467;27.50;4.50;True;False;False;False;1;33.98357186143983;0;33.98357186143983;33.98357186143983
15;59.50;3.50;False;False;True;False;484;44.50;4.50;True;False;False;False;2;22.350891546095568;0.03426519367856197;22.220000000000027;22.481783092191108
15;59.50;3.50;False;False;True;False;485;45.50;4.50;True;False;False;False;1;21.335782218585422;0;21.335782218585422;21.335782218585422
15;59.50;3.50;False;False;True;False;488;48.50;4.50;True;False;False;False;1;20.254813220625053;0;20.254813220625053;20.254813220625053
15;59.50;3.50;False;False;True;False;519;35.50;5.50;True;False;False;False;1;36.32419857840057;0;36.32419857840057;36.32419857840057
15;59.50;3.50;False;False;True;False;521;37.50;5.50;True;False;False;False;1;44.61879379490529;0;44.61879379490529;44.61879379490529
15;59.50;3.50;False;False;True;False;522;38.50;5.50;True;False;False;False;1;46.023891408681834;0;46.023891408681834;46.023891408681834
15;59.50;3.50;False;False;True;False;523;39.50;5.50;True;False;False;False;1;46.93579342522776;0;46.93579342522776;46.93579342522776
15;59.50;3.50;False;False;True;False;529;45.50;5.50;True;False;False;False;1;51.43240980504834;0;51.43240980504834;51.43240980504834
15;59.50;3.50;False;False;True;False;535;51.50;5.50;True;False;False;False;1;25.458120298935683;0;25.458120298935683;25.458120298935683
15;59.50;3.50;False;False;True;False;605;33.50;7.50;True;False;False;False;2;37.84769850982224;0.21311630699161407;37.52126604591001;38.174130973734464
15;59.50;3.50;False;False;True;False;607;35.50;7.50;True;False;False;False;1;38.56106255424743;0;38.56106255424743;38.56106255424743
15;59.50;3.50;False;False;True;False;611;39.50;7.50;True;False;False;False;1;47.453646790403354;0;47.453646790403354;47.453646790403354
15;59.50;3.50;False;False;True;False;612;40.50;7.50;True;False;False;False;1;47.355633014678915;0;47.355633014678915;47.355633014678915
15;59.50;3.50;False;False;True;False;613;41.50;7.50;True;False;False;False;1;48.226717383528694;0;48.226717383528694;48.226717383528694
15;59.50;3.50;False;False;True;False;616;44.50;7.50;True;False;False;False;1;47.89954742848954;0;47.89954742848954;47.89954742848954
15;59.50;3.50;False;False;True;False;660;44.50;8.50;True;False;False;False;1;40.18634339476375;0;40.18634339476375;40.18634339476375
15;59.50;3.50;False;False;True;False;662;46.50;8.50;True;False;False;False;1;38.87240513191898;0;38.87240513191898;38.87240513191898
15;59.50;3.50;False;False;True;False;667;51.50;8.50;True;False;False;False;1;26.667760089652944;0;26.667760089652944;26.667760089652944
15;59.50;3.50;False;False;True;False;755;51.50;10.50;True;False;False;False;1;27.895092595152846;0;27.895092595152846;27.895092595152846
15;59.50;3.50;False;False;True;False;781;33.50;11.50;True;False;False;False;1;47.68207068228742;0;47.68207068228742;47.68207068228742
15;59.50;3.50;False;False;True;False;787;39.50;11.50;True;False;False;False;1;73.871281714122;0;73.871281714122;73.871281714122
