kpi,CBS-time_mean,CBS-time_std,CBS-energy_mean,CBS-energy_std,abs_diff,pct_diff,direction
total_orders_completed,49.2000,3.1145,49.2000,3.1145,0.0000,+0.00%,flat
throughput_per_hour,98.4000,6.2290,98.4000,6.2290,0.0000,+0.00%,flat
total_energy_mech_kJ,185.6390,10.2301,185.5688,10.2620,-0.0702,-0.04%,improved
total_energy_idle_kJ,160.7603,0.0597,160.7597,0.0884,-0.0006,-0.00%,improved
total_energy_with_idle_kJ,346.3992,10.1748,346.3285,10.1858,-0.0707,-0.02%,improved
energy_per_order_mech_kJ,3.7949,0.4461,3.7937,0.4495,-0.0012,-0.03%,improved
energy_per_order_with_idle_kJ,7.0735,0.6602,7.0723,0.6640,-0.0012,-0.02%,improved
stopgo_count_total,167.6000,7.6354,168.2000,7.6942,0.6000,+0.36%,worse
stopgo_count_empty,32.6000,2.0736,32.6000,2.0736,0.0000,+0.00%,flat
stopgo_count_loaded,135.0000,7.0711,135.6000,7.0922,0.6000,+0.44%,worse
stopgo_energy_empty_kJ,14.2805,1.2923,14.3430,1.2897,0.0624,+0.44%,worse
stopgo_energy_loaded_kJ,144.8571,8.7783,144.8836,8.7301,0.0265,+0.02%,worse
turn_count,167.6000,7.6354,168.2000,7.6942,0.6000,+0.36%,worse
turn_count_loaded,135.0000,7.0711,135.6000,7.0922,0.6000,+0.44%,worse
turn_energy_empty_kJ,3.1547,0.1834,3.2172,0.2050,0.0624,+1.98%,worse
turn_energy_loaded_kJ,30.8287,1.7642,30.9301,1.7515,0.1014,+0.33%,worse
turn_energy_kJ,33.9834,1.8753,34.1472,1.8624,0.1638,+0.48%,improved
total_travel_distance_m,1090.9134,29.3088,1086.1392,29.4098,-4.7742,-0.44%,improved
loaded_distance_m,895.4000,47.5005,895.0000,47.3762,-0.4000,-0.04%,worse
move_energy_empty_kJ,11.1258,1.3407,11.1258,1.3407,0.0000,+0.00%,flat
move_energy_loaded_kJ,114.0284,7.0330,113.9535,7.0207,-0.0749,-0.07%,worse
total_wait_time_seconds,666.2580,33.5121,666.8002,33.5153,0.5423,+0.08%,worse
wait_energy_kJ,59.9632,3.0161,60.0120,3.0164,0.0488,+0.08%,worse
e_support_kJ,59.9632,3.0161,60.0120,3.0164,0.0488,+0.08%,worse
e_support_loaded_kJ,56.2938,3.2091,56.3153,3.2202,0.0215,+0.04%,worse
e_support_empty_kJ,3.6694,0.2239,3.6967,0.2351,0.0273,+0.74%,worse
e_support_per_order_kJ,1.2199,0.0339,1.2209,0.0333,0.0010,+0.08%,worse
stopgo_energy_loaded_kJ,144.8571,8.7783,144.8836,8.7301,0.0265,+0.02%,worse
stopgo_energy_empty_kJ,14.2805,1.2923,14.3430,1.2897,0.0624,+0.44%,worse
time_idle_sec,0.4200,0.0000,0.4200,0.0000,0.0000,+0.00%,flat
robot_utilization,0.9998,0.0000,0.9998,0.0000,0.0000,+0.00%,flat
e_support_to_mech_ratio,0.3245,0.0335,0.3249,0.0335,0.0004,+0.12%,improved
